Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
2/10/2019,12:20:16 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/10/2019,12:20:01 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/10/2019,12:19:46 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/9/2019,6:13:47 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/9/2019,12:02:05 AM,other platforms,-31,Expense,Cultural educational and recreational articles and services
2/9/2019,12:01:37 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/9/2019,12:01:24 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/8/2019,4:07:17 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/8/2019,12:07:04 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/8/2019,12:06:52 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/7/2019,6:10:48 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/7/2019,2:10:34 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/7/2019,2:10:17 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/6/2019,5:04:36 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/6/2019,1:04:24 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/6/2019,1:04:10 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/5/2019,4:09:11 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/5/2019,12:08:44 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/5/2019,12:08:32 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/4/2019,9:14:27 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
2/4/2019,2:44:02 AM,other platforms,-31,Expense,Cultural educational and recreational articles and services
2/4/2019,2:43:39 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/3/2019,2:22:37 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/3/2019,2:22:12 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/3/2019,2:21:52 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
2/3/2019,1:10:14 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
2/3/2019,1:08:48 AM,other platforms,-31,Expense,Cultural educational and recreational articles and services
2/3/2019,1:07:02 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/3/2019,1:06:47 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/2/2019,4:03:37 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/2/2019,12:03:15 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/2/2019,12:02:51 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/1/2019,4:05:49 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/1/2019,12:05:28 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/31/2019,6:22:39 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/31/2019,2:22:21 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/30/2019,4:02:24 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/30/2019,12:01:56 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/29/2019,4:06:46 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/29/2019,12:06:29 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/29/2019,12:06:14 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/28/2019,6:45:25 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/28/2019,12:41:49 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
1/28/2019,12:41:15 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/28/2019,12:38:18 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/28/2019,12:38:03 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/27/2019,12:34:13 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/27/2019,12:33:58 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/26/2019,3:02:32 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
