Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
8/6/2018,11:16:27 AM,Alipay Website,400,Revenue,Account Transfer
8/5/2018,5:17:04 PM,other platforms,-268,Expense,Others
8/5/2018,5:15:43 PM,other platforms,-268,Expense,Others
8/4/2018,3:02:56 PM,Alipay Website,-4200,Expense,Account Transfer
8/4/2018,8:49:12 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
8/3/2018,7:34:16 PM,other platforms,-23,Expense,Food
8/2/2018,1:40:47 PM,other platforms,-13,Expense,Food
8/1/2018,9:11:28 PM,other platforms,-1,Expense,Others
8/1/2018,6:53:23 PM,Taobao,-49.95,Expense,Communication
8/1/2018,4:17:24 PM,other platforms,-9.9,Expense,Others
8/1/2018,1:47:10 PM,other platforms,-13.8,Expense,Food
8/1/2018,2:49:53 AM,Taobao,-142.5,Expense,Communication
7/31/2018,9:47:13 PM,other platforms,-18.56,Expense,Tranportation
7/31/2018,6:22:08 PM,other platforms,-14.24,Expense,Tranportation
7/30/2018,5:32:42 PM,other platforms,-38.5,Expense,Others
7/30/2018,5:39:43 AM,Taobao,-71,Expense,Cultural educational and recreational articles and services
7/30/2018,12:31:59 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/30/2018,12:30:44 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/29/2018,7:33:19 PM,other platforms,-26.5,Expense,Food
7/28/2018,9:03:06 PM,other platforms,-21,Expense,Food
7/27/2018,11:11:19 PM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/27/2018,12:38:49 PM,other platforms,-25,Expense,Food
7/27/2018,3:04:18 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
7/27/2018,1:43:53 AM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/26/2018,7:53:41 PM,other platforms,-24,Expense,Food
7/26/2018,6:00:37 PM,other platforms,-55.2,Expense,Tranportation
7/26/2018,3:10:46 PM,other platforms,-41.8,Expense,Tranportation
7/26/2018,12:16:30 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
7/25/2018,11:56:24 PM,other platforms,-14.84,Expense,Tranportation
7/25/2018,10:01:59 PM,other platforms,-220,Expense,Others
7/25/2018,9:54:40 PM,other platforms,-220,Expense,Others
7/25/2018,8:47:47 PM,other platforms,-20,Expense,Others
7/25/2018,8:07:22 PM,other platforms,-110,Expense,Others
7/25/2018,5:36:09 PM,other platforms,-440,Expense,Others
7/25/2018,5:13:44 PM,other platforms,-39.74,Expense,Tranportation
7/25/2018,4:29:02 PM,other platforms,-50,Expense,Others
7/25/2018,3:52:51 PM,other platforms,-22.6,Expense,Tranportation
7/25/2018,2:37:02 PM,other platforms,-1,Expense,Cultural educational and recreational articles and services
7/24/2018,6:34:21 PM,other platforms,-23.8,Expense,Food
7/24/2018,6:24:38 PM,other platforms,-42.8,Expense,Tranportation
7/24/2018,3:36:24 PM,other platforms,-19.9,Expense,Food
7/24/2018,2:12:28 PM,other platforms,-37.76,Expense,Tranportation
7/23/2018,9:53:26 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/23/2018,12:11:42 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/22/2018,7:22:21 PM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/22/2018,10:08:12 AM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/22/2018,9:42:31 AM,Taobao,-27.5,Expense,Cultural educational and recreational articles and services
7/22/2018,12:07:09 AM,Alipay Website,345,Revenue,Account Transfer
7/21/2018,10:31:42 PM,Alipay Website,1030,Revenue,Account Transfer
7/21/2018,7:30:57 PM,other platforms,-248,Expense,Others
7/19/2018,10:49:47 PM,Alipay Website,83,Revenue,Account Transfer
7/19/2018,10:48:08 PM,Alipay Website,-200,Expense,Account Transfer
7/19/2018,7:12:22 PM,other platforms,-55.2,Expense,Tranportation
7/19/2018,5:16:51 PM,other platforms,-68,Expense,Others
7/19/2018,4:58:04 PM,other platforms,-10,Expense,Others
7/19/2018,3:45:11 PM,other platforms,-37.82,Expense,Tranportation
7/19/2018,12:39:41 PM,other platforms,-88,Expense,Others
7/19/2018,8:05:05 AM,Alipay Website,700,Revenue,Account Transfer
7/17/2018,9:18:21 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/16/2018,9:14:36 PM,other platforms,-42.9,Expense,Food
7/16/2018,3:46:21 PM,other platforms,-16.52,Expense,Tranportation
7/16/2018,2:51:30 PM,other platforms,-13,Expense,Tranportation
7/16/2018,2:14:48 AM,Taobao,-71,Expense,Cultural educational and recreational articles and services
7/16/2018,1:52:43 AM,Taobao,-142,Expense,Cultural educational and recreational articles and services
7/16/2018,1:34:15 AM,other platforms,-100,Expense,Cultural educational and recreational articles and services
7/14/2018,5:42:18 PM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/14/2018,3:28:43 PM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/13/2018,10:58:35 AM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/13/2018,9:07:46 AM,Taobao,-355,Expense,Cultural educational and recreational articles and services
7/11/2018,9:14:30 AM,other platforms,-488,Expense,Cultural educational and recreational articles and services
7/10/2018,5:11:06 PM,other platforms,-39.98,Expense,Tranportation
7/10/2018,3:25:24 PM,other platforms,-38.1,Expense,Tranportation
7/9/2018,12:05:11 PM,other platforms,-27.9,Expense,Food
7/9/2018,11:41:35 AM,Taobao,-190,Expense,Others
7/8/2018,11:11:01 PM,other platforms,-36.4,Expense,Tranportation
7/8/2018,5:32:20 PM,other platforms,-31,Expense,Tranportation
7/8/2018,1:13:59 PM,Alipay Website,1000,Revenue,Account Transfer
7/8/2018,1:01:35 PM,Taobao,-3468,Expense,Cultural educational and recreational articles and services
7/7/2018,12:47:06 AM,other platforms,-200,Expense,Cultural educational and recreational articles and services
7/6/2018,6:46:58 PM,Taobao,-700,Expense,Cultural educational and recreational articles and services
7/6/2018,6:13:16 PM,other platforms,-148,Expense,Cultural educational and recreational articles and services
7/6/2018,5:43:36 PM,other platforms,-25,Expense,Others
7/6/2018,4:16:58 PM,Taobao,-49.83,Expense,Others
7/6/2018,4:16:58 PM,Taobao,-16.9,Expense,Others
7/6/2018,3:05:17 PM,other platforms,-25,Expense,Cultural educational and recreational articles and services
7/5/2018,5:38:12 PM,Taobao,-150,Expense,Communication
7/4/2018,5:43:59 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
6/29/2018,3:24:09 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
6/27/2018,3:04:26 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
6/26/2018,6:14:56 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
6/24/2018,11:55:21 PM,Taobao,-19.99,Expense,Communication
6/24/2018,11:29:35 PM,Alipay Website,1700,Revenue,Account Transfer
6/19/2018,5:15:03 PM,other platforms,-68,Expense,Others
6/19/2018,5:05:57 PM,other platforms,-5,Expense,Cultural educational and recreational articles and services
6/19/2018,1:05:22 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
6/18/2018,9:28:17 PM,Alipay Website,8300,Revenue,Account Transfer
6/18/2018,9:17:39 PM,Taobao,-8305,Expense,Tranportation
6/17/2018,7:14:15 PM,other platforms,-4,Expense,Cultural educational and recreational articles and services
6/17/2018,3:13:27 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
6/16/2018,2:56:10 PM,other platforms,-132,Expense,Cultural educational and recreational articles and services
6/16/2018,2:02:34 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
6/15/2018,11:22:28 AM,other platforms,-5,Expense,Cultural educational and recreational articles and services
6/15/2018,7:21:34 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
6/14/2018,12:50:56 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
6/14/2018,3:14:37 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
6/14/2018,3:12:06 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
6/14/2018,3:05:27 AM,other platforms,-653,Expense,Cultural educational and recreational articles and services
6/14/2018,3:00:25 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
6/12/2018,6:01:35 AM,other platforms,-45,Expense,Cultural educational and recreational articles and services
6/11/2018,11:16:23 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
6/9/2018,11:27:07 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
6/9/2018,11:17:19 AM,other platforms,-138,Expense,Cultural educational and recreational articles and services
6/9/2018,11:14:21 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
6/8/2018,9:52:17 AM,other platforms,-10,Expense,Cultural educational and recreational articles and services
6/8/2018,5:51:25 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
6/7/2018,12:21:27 PM,other platforms,-24,Expense,Cultural educational and recreational articles and services
6/7/2018,8:17:50 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
6/6/2018,3:39:16 PM,other platforms,-30,Expense,Cultural educational and recreational articles and services
6/6/2018,11:38:37 AM,other platforms,-658,Expense,Cultural educational and recreational articles and services
6/6/2018,11:08:32 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
6/5/2018,1:58:41 PM,other platforms,-11,Expense,Cultural educational and recreational articles and services
6/5/2018,9:53:45 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
6/4/2018,5:55:03 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
6/4/2018,3:01:40 AM,other platforms,-648,Expense,Cultural educational and recreational articles and services
6/2/2018,2:54:38 AM,Taobao,-28.8,Expense,Cultural educational and recreational articles and services
6/2/2018,2:54:38 AM,Taobao,-34,Expense,Others
5/31/2018,9:40:26 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
5/28/2018,9:47:12 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
5/28/2018,2:43:18 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
5/27/2018,3:04:08 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
5/26/2018,7:17:21 AM,other platforms,-198,Expense,Cultural educational and recreational articles and services
5/25/2018,12:10:54 PM,other platforms,-30,Expense,Cultural educational and recreational articles and services
5/25/2018,8:09:22 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
5/25/2018,6:51:27 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
5/25/2018,6:34:08 AM,other platforms,-648,Expense,Cultural educational and recreational articles and services
5/19/2018,5:15:13 PM,other platforms,-68,Expense,Others
5/19/2018,2:13:26 PM,other platforms,-2,Expense,Others
5/14/2018,1:47:24 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/14/2018,1:46:55 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/14/2018,1:12:04 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/14/2018,1:10:19 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/14/2018,1:09:29 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/14/2018,12:56:15 PM,other platforms,-406.46,Expense,Food
5/10/2018,2:36:50 AM,other platforms,-238,Expense,Cultural educational and recreational articles and services
5/4/2018,5:11:55 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
5/3/2018,2:36:34 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/3/2018,2:35:15 PM,other platforms,-388,Expense,Cultural educational and recreational articles and services
5/3/2018,2:41:57 AM,other platforms,-60,Expense,Cultural educational and recreational articles and services
5/2/2018,2:50:30 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
4/27/2018,3:04:33 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
4/26/2018,2:38:05 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
4/25/2018,6:51:26 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
4/19/2018,5:15:30 PM,other platforms,-68,Expense,Others
4/13/2018,8:21:30 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
4/13/2018,8:21:02 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
4/13/2018,7:36:39 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
4/13/2018,7:35:57 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
4/13/2018,7:35:11 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
4/4/2018,4:33:41 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
4/4/2018,2:45:37 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
4/2/2018,2:37:00 PM,other platforms,-320,Expense,Cultural educational and recreational articles and services
4/2/2018,2:47:05 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
4/2/2018,2:24:59 AM,Alipay Website,320,Revenue,Account Transfer
3/27/2018,3:04:05 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
3/26/2018,5:26:09 AM,other platforms,-42,Expense,Cultural educational and recreational articles and services
3/26/2018,5:25:23 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/25/2018,12:04:51 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/25/2018,6:51:26 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
3/24/2018,6:33:10 PM,other platforms,-1,Expense,Cultural educational and recreational articles and services
3/24/2018,2:31:57 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/23/2018,9:36:22 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
3/23/2018,5:34:46 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/22/2018,5:18:55 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/22/2018,1:12:13 PM,other platforms,-198,Expense,Cultural educational and recreational articles and services
3/22/2018,7:13:19 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/22/2018,3:12:40 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/21/2018,1:20:13 PM,other platforms,-328,Expense,Cultural educational and recreational articles and services
3/21/2018,7:59:58 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/21/2018,3:59:43 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/20/2018,9:49:09 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/20/2018,5:46:57 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/19/2018,5:15:01 PM,other platforms,-68,Expense,Others
3/19/2018,1:37:44 PM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/19/2018,9:35:06 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/18/2018,11:19:45 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
3/18/2018,4:59:20 PM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/18/2018,12:58:23 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/17/2018,8:57:13 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
3/17/2018,4:54:54 AM,other platforms,-198,Expense,Cultural educational and recreational articles and services
3/17/2018,4:49:49 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
3/17/2018,4:46:04 AM,other platforms,-198,Expense,Cultural educational and recreational articles and services
3/17/2018,4:33:42 AM,other platforms,-204,Expense,Cultural educational and recreational articles and services
3/17/2018,4:31:32 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
3/16/2018,10:35:00 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/16/2018,6:34:09 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/15/2018,9:31:27 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/15/2018,5:31:00 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/14/2018,1:41:40 PM,Taobao,-49.95,Expense,Communication
3/14/2018,1:32:37 PM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/14/2018,9:30:18 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/13/2018,8:17:28 AM,other platforms,-205,Expense,Cultural educational and recreational articles and services
3/13/2018,8:05:49 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/12/2018,8:59:53 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/12/2018,4:59:15 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/11/2018,8:20:07 PM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/11/2018,4:19:45 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/10/2018,5:32:52 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/10/2018,1:32:10 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/9/2018,6:01:22 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/9/2018,1:59:20 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
3/9/2018,1:57:25 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/8/2018,3:21:49 AM,other platforms,-199,Expense,Cultural educational and recreational articles and services
3/8/2018,3:20:09 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/7/2018,3:18:48 PM,other platforms,-198,Expense,Cultural educational and recreational articles and services
3/7/2018,1:28:20 PM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/7/2018,9:27:30 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/6/2018,8:28:53 AM,other platforms,-13,Expense,Cultural educational and recreational articles and services
3/6/2018,4:28:06 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
3/5/2018,4:32:20 PM,other platforms,-31,Expense,Cultural educational and recreational articles and services
3/5/2018,12:30:07 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/4/2018,3:18:35 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
3/4/2018,5:50:31 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/4/2018,1:48:26 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/3/2018,4:54:57 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/3/2018,12:53:26 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/2/2018,7:31:46 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
3/2/2018,3:31:10 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
3/1/2018,12:08:40 PM,other platforms,-7,Expense,Cultural educational and recreational articles and services
3/1/2018,8:07:55 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/28/2018,6:57:19 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
2/28/2018,2:56:56 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/27/2018,11:15:18 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
2/27/2018,11:04:07 AM,other platforms,-666,Expense,Cultural educational and recreational articles and services
2/27/2018,6:19:12 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
2/27/2018,6:18:53 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
2/27/2018,6:18:39 AM,other platforms,-648,Expense,Cultural educational and recreational articles and services
2/27/2018,6:11:42 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/27/2018,5:55:14 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/26/2018,1:17:18 PM,other platforms,-98,Expense,Cultural educational and recreational articles and services
2/26/2018,9:42:56 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/26/2018,5:40:28 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/25/2018,1:51:25 PM,other platforms,-70,Expense,Cultural educational and recreational articles and services
2/25/2018,11:32:51 AM,other platforms,-541.72,Expense,Food
2/25/2018,9:00:44 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/25/2018,4:59:00 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/24/2018,6:49:27 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/24/2018,6:04:30 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/23/2018,5:32:23 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/23/2018,1:31:35 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/22/2018,10:38:23 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/22/2018,6:37:42 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/21/2018,3:04:45 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/21/2018,2:55:49 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/20/2018,5:07:38 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/20/2018,1:06:58 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/19/2018,6:15:06 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/19/2018,1:21:52 PM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/19/2018,9:21:14 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/19/2018,4:21:34 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/19/2018,12:19:22 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/18/2018,4:22:19 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/18/2018,12:21:39 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/17/2018,4:31:40 AM,other platforms,-12,Expense,Cultural educational and recreational articles and services
2/17/2018,12:28:12 AM,other platforms,-44,Expense,Cultural educational and recreational articles and services
2/17/2018,12:24:50 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/16/2018,4:37:23 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
2/16/2018,12:34:43 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/15/2018,9:16:47 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/15/2018,4:13:17 AM,other platforms,-32,Expense,Cultural educational and recreational articles and services
2/15/2018,12:11:46 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/14/2018,7:54:42 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/14/2018,1:56:10 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/14/2018,1:54:01 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/13/2018,5:25:50 AM,other platforms,-7,Expense,Cultural educational and recreational articles and services
2/13/2018,1:24:19 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
2/13/2018,1:17:36 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/12/2018,12:56:09 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/12/2018,12:54:15 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/11/2018,7:16:53 AM,other platforms,-12,Expense,Cultural educational and recreational articles and services
2/11/2018,3:16:06 AM,other platforms,-60,Expense,Cultural educational and recreational articles and services
2/11/2018,3:01:30 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/11/2018,2:59:15 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/10/2018,12:05:56 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
2/10/2018,12:03:39 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/9/2018,6:34:43 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/9/2018,2:28:11 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
2/9/2018,1:38:36 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/8/2018,8:22:13 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
2/8/2018,4:19:36 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
2/8/2018,4:06:38 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/8/2018,12:05:22 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/7/2018,8:24:42 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
2/7/2018,7:32:42 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/7/2018,3:30:21 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
2/7/2018,3:28:49 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/6/2018,7:39:40 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/6/2018,3:38:46 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
2/6/2018,3:27:16 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/5/2018,1:34:13 PM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/5/2018,9:32:56 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/4/2018,2:13:18 PM,other platforms,-15,Expense,Cultural educational and recreational articles and services
2/4/2018,10:22:37 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
2/4/2018,6:15:59 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/4/2018,2:15:06 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/3/2018,3:45:34 PM,other platforms,-7,Expense,Cultural educational and recreational articles and services
2/3/2018,11:44:23 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
2/2/2018,5:01:41 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/2/2018,1:01:03 PM,other platforms,-129,Expense,Cultural educational and recreational articles and services
2/2/2018,9:50:28 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/1/2018,12:47:46 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/1/2018,8:39:29 AM,other platforms,-199,Expense,Cultural educational and recreational articles and services
2/1/2018,8:04:54 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/31/2018,8:21:33 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/31/2018,9:59:14 AM,other platforms,-31,Expense,Cultural educational and recreational articles and services
1/31/2018,5:58:51 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/30/2018,1:57:33 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/30/2018,9:38:58 AM,other platforms,-129,Expense,Cultural educational and recreational articles and services
1/30/2018,6:51:12 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/29/2018,1:58:52 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/29/2018,9:58:02 AM,other platforms,-135,Expense,Cultural educational and recreational articles and services
1/29/2018,9:54:44 AM,other platforms,-12,Expense,Cultural educational and recreational articles and services
1/29/2018,1:30:15 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/28/2018,9:28:22 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/27/2018,12:39:33 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/27/2018,8:38:27 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/27/2018,8:37:16 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/26/2018,11:39:46 PM,other platforms,-655,Expense,Cultural educational and recreational articles and services
1/26/2018,11:34:34 PM,other platforms,-98,Expense,Cultural educational and recreational articles and services
1/22/2018,2:14:31 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/19/2018,6:15:01 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
1/14/2018,1:35:58 PM,other platforms,-308,Expense,Others
1/12/2018,11:01:34 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/12/2018,8:07:37 PM,other platforms,-25,Expense,Food
1/10/2018,3:12:56 PM,Alipay Website,89,Revenue,Account Transfer
1/10/2018,2:04:09 PM,other platforms,-267,Expense,Food
1/10/2018,11:48:01 AM,Taobao,-30,Expense,Communication
1/10/2018,11:47:44 AM,Taobao,-52.5,Expense,Communication
1/10/2018,11:31:45 AM,other platforms,-23,Expense,Food
1/7/2018,10:51:22 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
1/7/2018,10:47:49 PM,Alipay Website,94,Revenue,Account Transfer
1/7/2018,6:06:44 PM,other platforms,-45.85,Expense,Tranportation
1/7/2018,2:31:17 PM,other platforms,-185.7,Expense,Food
